id,overall_ranking,first_name,last_name,pos,team,b_t,future_value,body,fastball_proj,sweeper_proj,changeup_proj,cutter_proj,control_proj,hit_proj,power_proj,run_proj,field_proj,arm_proj
58,59,Harry,Ford,C,,Right-Right,60,"Type: Power-and-patience catcher who continues to come along  Ford was the No. 12 pick in the 2021 draft because he had a plus power potential/speed/arm combo with a shot to stay behind the plate long term (a rare combination), but some trouble sticking with the same swing. He has continued to progress behind the plate and is still a standout athlete, though his offensive upside is more driven by walks/on-base percentage than outstanding in-game power or contact rates right now (they're good, not great). As long as he stays behind the plate, that shouldn't matter much. But if he moves to a corner, his power manifesting in 20 homers annually (the raw power is still there) will become more important. For what it's worth, his government name is Harrison Michael Ford.",,,,,,,,,,
59,60,George,Lombard Jr.,SS,Age: 19 | Bats: Right | Throws: Right,Right-Right,60,"Type: Solid-average tools, great instincts and 20-25 homer upside  Lombard's father, George Sr., played in the big leagues for parts of six seasons and is now the Tigers' bench coach, and his little brother Jacob is a likely 2026 first-rounder. As you might guess, Lombard has advanced feel for the game, outperforming his solid raw tools at shortstop with feel for the position, in addition to above-average pitch selection at the plate. He also stole 39 bases last year despite roughly average speed. Lombard has some real tools, as well, with raw power that's already posting major league average exit velos as a teenager.  His 2024 season line (league-average hitting across both A-ball levels) doesn't necessarily represent his full ability, as some swing/approach adjustments correcting a slow start in terms of contact seemed to show results the last month of the season.",,,,,,,,,,
60,61,Caden,Dana,RHP,Age: 21 | Bats: Left | Throws: Right,Left-Right,60,"Type: Fastball/slider-reliant potential midrotation starter  Dana signed for $1.5 million out of a New Jersey high school as an 11th-round pick in the 2022 draft. The 6-foot-4 righty regularly got into the mid-90s with a sharp breaking ball and flashed starter traits at draft time, but everything he does has blossomed in his two full seasons of pro baseball to the point that he reached the big leagues last summer at age 20.  He now works at 93-95 mph with tailing life, throwing a lot of strikes with his heater. His best breaking ball is a plus slider; his curveball and changeup are both around average. Dana's next thing to figure out is making one of those secondary pitches his go-to off-speed pitch against left-handed batters.",,,,,,,,,,
61,62,Brandon,Sproat,RHP,Age: 24 | Bats: Right | Throws: Right,Right-Right,60,"Type: Power sinker/slider starter who has continued to improve from a collegiate short reliever  Sproat didn't sign with the Rangers as a late-rising seventh round pick who was regularly into the mid-90s out of a Florida panhandle high school in 2019, then regularly hit 100 mph as a reliever for two years at the University of Florida. Things changed when he switched to starting in his junior year and flashed first-round potential, ultimately passing on signing with the Mets as a third-rounder in 2022. The Mets didn't give up and Sproat continued to improve, coming to terms as second-rounder in the 2023 draft.  Sproat's improvement continued in 2024 as he went from High-A to Triple-A, showing similarly good stuff that he showed as a starter in college: sitting in the mid-90s with sink/run, complemented by a slider, curveball and changeup that are all above average at times. He still needs one more tick of command development but now looks to be on the verge of becoming a third or fourth starter.",,,,,,,,,,
62,63,Brayden,Taylor,3B,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,"Type: Polished defender and hitter who has a good shot to be a solid everyday player  Taylor stood out almost immediately when he got to TCU in 2021, putting up loud numbers (.315 average, 103 extra base hits, 158 walks) and eventually going No. 19 overall in the 2023 draft.  He has an incredible ability to lift and pull the ball to get to his potential average raw power, giving him 20 homer upside, but there is a concern that he's so reliant on that one way to create value that there may not be a good backup option if it doesn't work at the big league level. This concern still dogs former Rays 3B Isaac Paredes, but he also hit 70 home runs in three years once the Rays let him play everyday, so maybe they know what they're doing.  Taylor is likely a .240ish hitter with a strong walk rate but adds to his value with a strong glove at third base (he can fill in at either middle infield spot, if needed), and he also stole 29 bases last season despite average speed.",,,,,,,,,,
63,64,Kevin,Alcantara,CF,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Long-limbed center fielder who is tooled up and ready to develop in the big leagues  Alcantara was the headliner of the Cubs' return for Anthony Rizzo in the 2021 trade deadline with the Yankees. He is a 6-foot-6 center fielder whose height becomes a factor in every part of his game. He is a plus runner and defender due in part to his long strides that provide make-up speed into the gaps. His long arms help create plus raw power but also make him a below-average hitter for contact. Those elements are pretty set, but his pitch selection and ability to pull/lift the ball to optimize his quality of contact for his power are the two unknown variables.  He had a cup of coffee with the Cubs in 2024 but is blocked by Pete Crow-Armstrong, so depending what happens with the upcoming free agency of Kyle Tucker, Alcantara's best shot at regular major league playing time could come in 2026.",,,,,,,,,,
64,65,Tink,Hence,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Well-rounded potential midrotation starter  Hence was a classic projection pitcher with clean arm action when St. Louis took him No. 63 overall in the 2020 draft. He has come along slowly since, building up his innings and diversifying his pitch mix. Hence is now on the Cardinals' 40-man roster and should open 2025 in Triple-A.  His pitch velocity and movement combinations are just OK on paper, mostly around MLB average for each pitch, but his outcomes are excellent. That's typical for changeups (and Hence's is plus), which rely on a couple different kinds of deception more than aggregate movement, but I think there's something interesting going on here with Hence's six-pitch mix, deception, locations and sequencing. He's tracking like a midrotation starter.",,,,,,,,,,
65,66,Starlyn,Caba,SS,,Switch-Right,60,"Type: An intriguing blend of outstanding contact, speed and defense but very little power  Caba was traded from the Phillies to the Marlins in this offseason's Jesus Luzardo deal. He is a study in extremes: He has among the best bat control, pitch selection and defensive ability of anyone in the minor leagues, along with plus speed. As you might guess, Caba isn't that big at 5-foot-9 and has very little power (posting the second-lowest exit velocity on this list).  The bull case is that there's really only one weakness to his game, and he just turned 19 years old, so it'll improve. The bear case is this weakness could torpedo Caba's whole profile and make him a utility guy when he reaches the big leagues in a few years. I tend to be bullish on players who have one notable weakness; we saw last season that players such as Jose Iglesias, Luis Arraez or Steven Kwan can become good big leaguers.",,,,,,,,,,
66,67,Ronny,Mauricio,SS,Age: 23 | Bats: Switch | Throws: Right,Switch-Right,60,"Type: Dynamic raw tools, decent playability of them, coming back from a torn ACL  Inside the MLB draft value of two-way stars  Here's how hitting and pitching elevates a prospect -- even if there's little chance the best in this draft will do both in the majors.   Kiley McDaniel »  Mauricio missed the 2024 season because of a torn ACL after he'd already played 26 big league games in 2023. He should return early in the 2025 season with little difference in his scouting report, but there was still a good bit unknown about Mauricio before his knee injury.  He was one of the top prospects in his signing class and moved through the minors quickly because of his big tools, but Mauricio's feel for using those tools in games could be better. He has plus bat control and plus-plus power projection, but he undermines those with a well-above-average chase rate and a flat launch angle, so his homer totals might not match his raw power in the big leagues. Mauricio is a solid defensive shortstop and has a plus arm, so he can play anywhere on the field and could be used in a utility role to find at-bats.",,,,,,,,,,
67,68,Jacob,Misiorowski,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Plus-plus stuff and below-average control -- just has to find a role  Misiorowski went from intriguing prep then junior college projection arm to ""have you heard about that guy sitting 100 mph?"" to ""yeah, but he doesn't know where it's going"" to ""he's a useful big leaguer, but I don't know in what role yet."" I've had all of those conversations about him over the past few years.  Misiorowski's 6-foot-7 frame helps create his arm speed but doesn't help him repeat his delivery enough to turn over a lineup at this moment. Given the success of Tyler Glasnow, you don't want to rule out anything for this type of pitcher, especially given the Brewers' success at turning lower-tier prospects into frontline starters or top relievers. Misiorowski should arrive in the big leagues during the second half of 2025, if not sooner.",,,,,,,,,,
68,69,Arjun,Nimmala,SS,Age: 19 | Bats: Right | Throws: Right,Right-Right,60,"Type: A chance to be a shortstop who hits 30 homers, but it's still early  One of the most intriguing prospects in the 2022 draft because of his unique background, Nimmala's blazing-hot second half earned him a spot on this list.  He found his power in games, thanks in large part to his collection of excellent in-game power indicators (barrel rate, air pull percentage, launch angle, contact position, etc.) that should allow him to maximize his power as he develops. That will come with some swing and miss, maybe a .240 batting average and fringe-average on-base percentage, but he'll play the infield and this collection of tools and soft skills as an 18-year-old (he turned 19 after the season ended) puts Nimmala alongside the top prep prospects in the past few drafts, particularly if he can post numbers for all of 2025 like he did in the second half of 2024.",,,,,,,,,,
69,70,Zyhir,Hope,CF,Age: 20 | Bats: Left | Throws: Left,Left-Left,60,"Type: One of the biggest breakouts of 2024 with 30-homer potential and plus speed  Hope was a notable prep prospect in the 2023 draft but was seen as a power/speed combo without much refinement, which is why the Cubs were able to sign him for $400,000 in the 11th round. The Cubs dealt him and Jackson Ferris, ranked No. 93, for Michael Busch last winter, and Hope proceeded to have a breakout season, with a .905 OPS at the Low-A level as a teenager followed by a solid showing in the Arizona Fall League.  Hope is a compactly built 5-foot-10 with plus speed (though he likely settles in a corner outfield spot) and plus-plus raw power projection. The surprising thing since the draft is Hope's ability to drive the ball in the air to all fields, particularly pitches on the inner half. There is some risk that his contact rates will dive against more advanced pitching, but the in-game power appears to be very real.",,,,,,,,,,
70,71,Xavier,Isaac,1B,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Type: Big, lefty-hitting first baseman with 40-homer potential but also contact issues  Isaac was a surprise first-round pick in 2022, going No. 29 after missing the entire summer showcase circuit because of an injury, so teams had even more varied opinions than they normally do about prep prospects. There were a handful of teams that had Isaac lined up in the dozen picks behind where Tampa Bay took him.  He has been productive since signing, posting a nearly .900 OPS and hitting 37 homers in two pro seasons while being young for each level he has played. The concerns are that he offers almost no baserunning or defensive value, and his contact rates were much lower in 2024 than 2023, suggesting he's a .230ish or even .220 hitter at the big league level. Isaac's offensive adjustments will likely be visible in even his surface stats this upcoming season at Double-A, and that will tell us a lot about what kind of big leaguer he will be.",,,,,,,,,,
71,72,Termarr,Johnson,2B,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,"Type: A top-five pick who is starting to figure it out, might still hit 20-25 homers  Johnson was the No. 4 pick in the 2022 draft, selected out of an Atlanta-area high school after a long track record of success in top prep events. He had a mixed start to his pro career, hitting a combined .240 over his first two full pro seasons with an extreme late-count, power-and-patience approach at times.  In Johnson's past 40 or so games in High-A last season, his numbers turned around as he seemed to solve some health questions while making swing adjustments. A strong 2025 season at Double-A will go a long way toward showing whether he can reach his pre-draft projections.",,,,,,,,,,
72,73,Cam,Smith,3B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: 30-plus homer potential in a third base/right field tweener profile  Smith was a fall 2021 pop-up prospect as a Florida high schooler with big tools who hadn't seen much velocity before. His bonus price outpaced the second- to third-round grades teams had on him, so he went to Florida State where he had a lot of contact problems as a freshman. Then in his sophomore year, he implemented a much shorter, simpler swing that changed everything. He would still show plus or more raw power in BP, with strong exit velocity, pitch selection and contact rate in games. He's OK at third base but runs and throws well enough that he could be a solid right fielder if third doesn't work out.  Before the draft, a lot of scouts who are very sharp about swings were telling me that Smith's swing was too forced and stiff, with no rhythm. Essentially, it was designed to hit college arms but not those in the upper minors or big leagues, so the team that drafts him might have to move it back to closer to what he did as a freshman, which wasn't that successful.  Counter to all of that pre-draft conversation, Smith went ballistic after signing as the 14th pick, with a 1.004 OPS in 32 pro games, then was included in the Kyle Tucker deal this winter. Clearly, the swing is working better in pro ball than I expected it to, but spending a whole season facing pitchers in the upper minors this season will be a real test for how well he can make adjustments when the time comes.",,,,,,,,,,
73,74,Jaison,Chourio,CF,,Switch-Right,60,"Type: Yep, Jackson's little brother can really hit and is a center/left field tweener  Chourio signed for $1.5 million out of Venezuela in the 2022 international signing period. He performed well, with excellent feel for the strike zone, in his first two seasons in the foreign and domestic complex leagues, then popped into top-100 consideration when he played at Low-A in 2024 before he broke his wrist toward the end of the season.  He is an average runner who stole 44 bases last year and plays mostly center field, but we'll see if he improves enough to stay there. At the plate, Chourio is borderline plus at both pitch selection and bat-to-ball ability with 20ish-homer upside. That kind of production really plays in center but is more of a low-end regular in a corner spot.",,,,,,,,,,
74,75,Christian,Moore,2B,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Power-over-hit everyday second baseman  Moore was a solid prospect in the 2021 draft out of high school but really blossomed at Tennessee, particularly in his final two seasons when he belted 51 home runs. The Angels took him at No. 8 last summer, and he immediately got to Double-A, putting up big numbers with rumors of a big league call-up interrupted by a knee injury.  Moore hunts for pitches to do damage with, so he gets to much of his plus raw power in games, but he might end up running below-average contact rates and on-base percentages.",,,,,,,,,,
75,76,Chase,Petty,RHP,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: Prep fireballer now turning into a sinker/sweeper starting pitcher  MLB most exciting player bracket  Who is the most electrifying player in baseball right now? Let's crown a champion. MLB most exciting player bracket »  Petty was a relative surprise as the No. 26 pick in the 2021 draft, coming from a New Jersey high school with some fame because he'd hit 100 mph for much of the preceding year. There's a long and not very successful list of triple-digit high school arms -- being velocity-dependent and adding stress on an arm at that important developmental stage generally aren't good future indicators.  Petty pivoted well in pro ball, sitting 93-96 mph with his sinker, developing his nascent changeup and leaning his slider toward a sweeper shape. All three pitches are now flashing above-average potential, his control and command are also getting close to big league rotation quality. He should open 2025 in Triple-A and is on track to join the rotation in 2026.",,,,,,,,,,
76,77,Felnin,Celesten,SS,Age: 19 | Bats: Switch | Throws: Right,Switch-Right,60,"Type: Hyped international signing who has played only 32 pro games, but the tools are real  Most scouts thought Celesten was the second- or third-best player in the 2023 international signing class, behind Ethan Salas. A hamstring injury delayed his pro debut to 2024 then a hamate injury ended his 2024 domestic season. There are some similarities to Leodalis De Vries, ranked No. 15, as top international signees who are developing strength quickly and may eventually move off of shortstop, but their innate hitting ability stands out wherever they move.  Celesten hasn't proved that much in regular-season games, but he's on this list because he's tracking like a middle infielder who will hit 20-plus homers in the big leagues and also do other stuff well. He can fill in those blanks more definitively after a strong 2025 season at Low-A.",,,,,,,,,,
77,78,Travis,Sykora,RHP,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,"Type: 6-foot-6 power righty with a middle-of-the-rotation look after one pro season  Sykora popped early in his prep career, hitting the mid-90s as a sophomore and holding his high-octane stuff to his senior year, landing a $2.6 million bonus from the Nats in the 2023 draft. I was bearish at draft time as I thought his velo had maxed out and he lacked the kind of starter traits needed to justify that kind of bonus. So far, I've been wrong.  He made 20 starts in Low-A last year and, while his velo/shapes on paper are just OK, he looks like a midrotation starter to the eye with outcomes also along those lines. Analysts will be interested to see if his whiff rates hold up in the upper minors or if there's simply something they're missing right now. I've decided to get on board before we find out.",,,,,,,,,,
78,79,Bryce,Rainer,SS,Age: 19 | Bats: Left | Throws: Right,Left-Right,60,"Type: 6-foot-3 potential star shortstop but there are some hit-tool questions  Rainer was a well-known high schooler years before he was draft-eligible, getting into the mid-90s with a sharp breaking ball early in his prep career, but standing out the most as a lefty-hitting shortstop with plus raw power. He was considered a late-first-rounder or second-rounder after the summer showcase season due to his contact rate questions, but looked so impressive last spring, including against high-end competition, that some scouts thought he was a notably better hitter than in the summer.  He has the raw power for 25-30 homers and the tools to stick at shortstop, giving some Corey Seager vibes. Summer performance is the single best indicator for professional performance, so Rainer's pro debut is eagerly awaited.",,,,,,,,,,
79,80,Emil,Morales,SS,Age: 18 | Bats: Right | Throws: Right,Right-Right,60,"Type: 6-foot-3 teenaged shortstop with 25-plus homer potential but contact and position questions  Morales signed for $1.9 million in last year's international signing class with scouting buzz that he may have been worth at least double that bonus by the time he signed. Like many top international signees, Morales is a longer-levered hitter with big raw power and a physical projection, but those qualities also make contact and sticking at shortstop long-term a challenge, balancing strength and quickness. He had a fantastic pro debut, hitting 14 homers and posting a 1.168 OPS in 46 games with almost as many walks as strikeouts in the Dominican Summer League, but his whiff rate at the lowest level of the minors is a yellow flag for most evaluators. In 2025 or 2026, when Morales gets an extended look at Low-A, we'll see if he makes the necessary adjustments to stay on this list; there's a really high variance to where he lands on next year's list.",,,,,,,,,,
80,81,Konnor,Griffin,SS,Age: 18 | Bats: Right | Throws: Right,Right-Right,60,"Type: Potential star who is plus at almost everything, but some scouts worry about his swing  I wrote at length about Griffin's unique two-way upside going into the draft.  He was taken with the No. 9 pick last summer as a positional player who gave me Fernando Tatis Jr. vibes, but he was also a potential top-50 pick as a pitcher with Jack Flaherty vibes.  The risk is that Griffin's swing, despite his ample tools, isn't conducive to a high-contact rate in pro ball. So his 30-homer upside, plus-plus speed and shortstop/outfield defensive projection would have to carry the value or he would maybe even turn to the mound. He hasn't played a pro game yet and from the performance data we do have, like the summer showcase circuit, he had a solid contact rate. There's a belief in the industry that Griffin may be a slower climber through the minors as he makes offensive adjustments, but the potential for a superstar is there.",,,,,,,,,,
81,82,Enrique,Bradfield Jr.,CF,,Left-Left,60,"Type: 80-grade runner and baserunner with a plus glove in center and plus on-base skills  Bradfield was famous to scouts as a freshman in high school at a Florida high school power as the spark plug in a lineup that included senior Mark Vientos and junior Triston Casas. After four years of springs and summers against high-level competition, Bradfield's bonus price wasn't met and he went to Vanderbilt. Bradfield continued to develop, posting a .426 on-base percentage and 130 stolen bases over three seasons, while also getting stronger to address the main criticism of his skill set.  The Orioles took him at No. 17 in the 2023 draft and he has continued to be an on-base and stolen base machine, with 35-to-40-grade raw power which should be enough to punish mistakes; call it 5-10 homers annually. Bradfield should spend 2025 in Double-A and Triple-A with a 2026 debut likely, but he'd also be a weapon down the stretch for a playoff contender this season.",,,,,,,,,,
82,83,Alfredo,Duno,C,Age: 19 | Bats: Right | Throws: Right,Right-Right,60,"Type: 40-homer upside, a good eye and a plus-plus arm behind the plate, but ...  Duno signed for $3.1 million out of Venezuela in the 2023 international signing period. He hit well later that year in the Dominican Summer League, then jumped to Low-A for 2024, but he played only 32 games before a broken rib ended his season.  His frame and tool set are huge: a potential catcher with a plus-plus arm, 80-grade power projection, feel for getting to it in games and a good batting eye. The issues are his bat-to-ball ability and the finer points of catching. His contact rate will probably never be high given his overall offensive approach and he's still a real prospect even if he moves to first base. Catchers and power hitters are among the players who are slowest to develop, giving Duno huge boom-or-bust potential.",,,,,,,,,,
83,84,Drew,Gilbert,CF,Age: 24 | Bats: Left | Throws: Left,Left-Left,60,"Type: Prototypical hit-over-power center fielder with plus speed  Who has hit (and missed) on top draft picks?  Some clubs have struck gold with their top picks, while others haven't had similar luck. What can this year's teams learn from recent history?   David Schoenfield »  Gilbert was a standout at Tennessee who I thought was a steal due to his polish and high floor when the Astros took him with the No. 28 pick in the 2022 draft. His showing in 2023, mostly at Double-A, backed that up, leading to becoming a key part of the Justin Verlander trade with the Mets.  Gilbert's 2024 was slowed by a hamstring injury and his offensive indicators (contact rate, chase rate, exit velos) all regressed a bit. I'm largely expecting him to come into 2025 healthy and back to his 2023 self (plus runner, above-average hitter, 15-ish homers), with an MLB debut in the second half, but I'll watch the early returns carefully.",,,,,,,,,,
84,85,Nacho,Alvarez Jr.,SS,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: Late bloomer has standout bat and glove, but a limited upside  Alvarez was a nearly anonymous fifth-round pick in the 2022 draft out of a southern California junior college. Almost exactly two years later, he made his big league debut after posting a .400 on-base percentage across 258 minor league games while being young for each level.  He is on the shortstop/third-base spectrum as someone who has played mostly shortstop in the minors but fits better at third base in the big leagues, with the ability to fill in at either middle infield position.  Alvarez's on-base track record should continue while his raw power, bat speed and in-game feel for power are all below average, but not worryingly so. He profiles as a high-probability solid big leaguer, with the downside that he could be more of a high-contact utility/platoon type. But there's room for more growth as Alvarez is still the same age as most 2024 or 2025 collegiate draft picks.",,,,,,,,,,
85,86,Owen,Caissie,RF,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,"Type: Prototypical power-over-hit corner outfielder whose raw power backed up in 2024  Caissie is the top player the Cubs received from the Padres in the Yu Darvish trade before the 2021 season. At that point, he was a recent second-round pick out of a Canadian high school who hadn't played a pro game yet and wasn't a consensus value at that point in the draft. He developed well since, with exit velocity near the top of the entire minor leagues as a teenager as a late-count, power-and-patience prototypical corner outfield prospect.  Those regressed heavily in 2024 when he spent the whole season in Triple-A, so now the questions are whether that power is coming back and whether he will be an above-average starter who hits .245 with 25-30 homers or more of a platoon type you don't want facing left-handed pitching.  He's on the 40-man now alongside Kevin Alcantara, ranked No. 64, with both prospects waiting for an outfield opening as Kyle Tucker's contract ends after this year and Ian Happ's and Seiya Suzuki's end after 2026.",,,,,,,,,,
86,87,Aidan,Smith,CF,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,"Type: Young outfielder with plus speed, arm and in-game power ability, but position and contact questions.  In the 2023 draft, Smith was a toolsy prep outfielder with some questions about his hit tool, so he lasted until the fourth round, where he got a late-second-round bonus of $1.2 million from the Mariners.  His high-end exit velocity, aptitude for getting to his raw power in games and 15% walk rate surprised many evaluators in 2024, leading to being the headliner of the Randy Arozarena trade at the deadline. Smith is a plus runner with a plus arm who is on the center/right field spectrum with a little time to influence the Rays' decision. His raw power and pull/lift percentages are both above major league average already, though it's looking like he'll hit .240 or so.",,,,,,,,,,
87,88,George,Klassen,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Collegiate fireballer who magically conjured control in the pros and now is a real prospect  Klassen was regularly in the upper 90s and even triple digits at Minnesota but also often didn't know where the ball was going, compiling 49 strikeouts to 47 walks in 2023. You can see why he went in the sixth round, but there has been a trend of teams finding undervalued collegiate arms in that juncture of the draft -- pitchers with one or two standout abilities that the demands of college baseball (strikeouts, ground balls, not allowing walks and, above all, consistency) don't always allow to develop in the slower-burn type of prospect.  With some simple refinements and cues, the Phillies got Klassen throwing strikes immediately, and in 2024 he reached Double-A with a cumulative 135 strikeouts to 46 walks on the season, across two organizations as he headlined the Carlos Estevez deal.  Yes, Klassen allowed fewer walks and racked up almost three times the strikeouts in almost double the innings at a much higher level of competition just a year later. He still isn't fine with his execution, but he is now looking like either a multi-inning reliever or a mid-rotation starter depending on how his command continues. His fastball and all three breaking balls look plus, with his 89-93 mph gyro cutter leading the way.",,,,,,,,,,
88,89,Ricky,Tiedemann,LHP,,Left-Left,60,"Type: Lower slot lefty with three plus pitches that should return after the 2025 season  Tiedemann took a step forward from high school to junior college, leading to his selection as the 91st pick in the 2021 draft, then he took a giant step forward in his first full year in the minor leagues.  In 2022, he reached Double-A as a teenager with a mid-90s fastball and plus stuff along with starter traits. He was one of the best pitching prospects in baseball before his 2023 and 2024 were derailed by arm soreness and diminished control, punctuated by a Tommy John surgery in July that will also cost him the whole 2025 season.  Tiedemann's career high for innings is 78⅔ (set back in 2022), so he'll still be on an innings count when he gets back on a mound in 2026 and won't see a heavy big league workload until 2027. I'm hoping that in 2026, his stuff, command and health will go back to what they were in 2022.",,,,,,,,,,
89,90,Moises,Chace,RHP,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: Has arguably the best fastball in the minor leagues, but an unclear role  Chace was a solid prospect with the Orioles until 2024 when he turned the corner into becoming a top-100 prospect, then was dealt with Seth Johnson to the Phillies for Gregory Soto at the deadline.  His fastball has every characteristic you could ask for: He sits 93-96 mph as a starter with above-average lift to the pitch and a well-lower-than-average release point thanks to his big extension that creates a very flat plane to the plate and is ideal for whiffs. Chace gets those in bunches: He has a 43% miss rate on the pitch, almost double the big league and minor league averages.  His strike-throwing of the pitch is already at the major league average for fastballs, so there's a thought that Chace could be a short reliever in the big leagues right now. His sweeper and changeup both flash above-average potential, and he was just added to the 40-man roster this winter, so I'd expect him to spend this whole season in the upper minors learning to be a starter, with the option to relieve in the big league pen at the end of the year. There's a solid floor here because he's likely a decent big league reliever right now, but there's also the ceiling of a mid-rotation starter if he can learn to turn over a big league lineup.",,,,,,,,,,
90,91,Chandler,Simpson,CF,Age: 24 | Bats: Left | Throws: Right,Left-Right,60,"Type: The fastest runner in organized baseball and a throwback fever dream of a player  I mentioned above with Enrique Bradfield Jr., Nacho Alvarez Jr. and Starlyn Caba that they had little enough raw power to at least question whether that could potentially undermine their entire offensive profile. But if that were to happen to a single player on this list, statistically speaking, it would have to be Simpson. He is the fastest of the group and has the best bat control, but he also has the least raw power, and by a good bit if you adjust for age. It doesn't really matter if he lifts or pulls the ball because he is doing something else. Something more noble.  Scouts joke that Simpson is a 90-grade runner because his run times don't even fit on the 20-80 scale. He stole 104 bases last season across High-A and Double-A. If you think about double-clutching a ground ball, he's already on base. If your pitcher forgets to look over once, your catcher has no chance to fix that mistake. Chandler Simpson is the stuff of nightmares but also dreams.  Start a free fantasy baseball league   The 2025 fantasy baseball season is here! Get the gang back together, or start a brand new tradition. Start or reactivate a league >>  He's a good, not great defender in center field because he played infield in college and his pitch selection is also good but not great. But, again, if Simpson isn't really trying to drive the ball (he tallied 16 extra-base hits in 110 games last year, and his lone homer was of the inside-the-park variety) and has incredible bat-to-ball ability, then pitch selection isn't that important. He just needs the ball to roll far enough that it takes any defender a couple strides to get to it. I'm sure some exit velocities are too slow to be detected by Statcast, and Simpson will lead the league in those. Juan Pierre is fighting back the tears he feels forming in his eyes.  Back to my original question: Could Simpson's lack of power undermine his tools and torpedo his career? Of course not, because his game doesn't rely on power at all. He's zigging while the league is zagging. He lives in a post-power world. Chandler Simpson doesn't need power; he has his own generator. Your grandfather is going to call you in September and tell you baseball is being played right for once, even after they ruined the game, and it's all because of that rookie down in Tampa.  Simpson is the most unique player on this list, and he'll be in the big leagues this season because he'll be a game-changer down the stretch off the bench -- at least! -- and I'll just be frank: He's going to be fun as hell to watch.",,,,,,,,,,
91,92,Braden,Montgomery,RF,Age: 21 | Bats: Switch | Throws: Right,Switch-Right,60,"Type: 30-homer upside in a classic right field profile, but with some contact questions  Montgomery was a tough sign in the 2021 draft out of a Mississippi high school because of his commitment to Stanford as a two-way player. He was a solid player for the Cardinal for two seasons, then transferred to Texas A&M for his draft year and had a breakout season, eventually going No. 12 to the Red Sox last summer.  Montgomery shortened his swing, improving his contact and pitch selection by buying himself more time to decide when to swing. His raw power potential is still plus-plus (as is his arm in right field), but there is a worry that his chase rate on soft stuff below the zone could limit how much of that pop he gets to in games. I'd also guess that he eventually drops hitting right-handed as his swing from that side is well behind his lefty swing.  Montgomery hasn't made his pro debut yet because he broke his ankle in the College World Series just before the draft. He joined Kyle Teel (No. 38) going to the White Sox as the headliners earlier this winter in the Garrett Crochet trade.",,,,,,,,,,
92,93,Jackson,Ferris,LHP,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Type: Long famous lefty has rounded out his game, on track to be a third/fourth starter  Ferris pitched at IMG Academy for two seasons and was a staple on the showcase circuit, so he was heavily scouted by the time he signed with the Cubs for just over $3 million as the No. 47 pick in 2022. At that point, the 6-foot-4 lefty had average-to-above raw stuff and starter command, but nothing truly plus, and his changeup lagged behind.  He was traded with Zyhir Hope, No. 70, for Michael Busch before last season and finished 2024 strong reaching Double-A with 145 strikeouts over 126⅔ innings. Now his fastball plays a bit above average and his changeup flashes solid average, so how his command plays at the upper levels will dictate whether he's a No. 3 or No. 4 starter.",,,,,,,,,,
93,94,River,Ryan,RHP,Age: 26 | Bats: Right | Throws: Right,Right-Right,60,"Type: Extremely late bloomer needed elbow surgery right after he got to the big leagues  Ryan signed for $100,000 with the Padres as an 11th-round pick out of UNC Pembroke. He turned 23 years old a month later and was traded to the Dodgers before he pitched in a pro game. He had thrown only 152 pro innings entering 2024 and made his big league debut in July, but he had elbow surgery by the end of August.  He has five plus pitches, and you can project starter command as he's an athletic, late-blooming pitcher who was mostly a position player in college. It's a bummer that he won't be able to get on a mound again until 2026 because he was just starting to put all the pieces together, but the Dodgers have enough dynamic arms to tide them over for a year.",,,,,,,,,,
